Num threads,N,total_cells_per_us
16,64,11.036383
16,128,24.230502
16,256,54.763513
16,512,87.926681
16,1024,105.417828
16,2048,124.76221
16,4096,129.840228
16,8192,134.927185
16,16384,147.106392
32,64,10.007264
32,128,26.5425
32,256,52.70107
32,512,100.75103
32,1024,130.627237
32,2048,152.699654
32,4096,160.785622
32,8192,166.886983
32,16384,151.124502
48,64,7.60497
48,128,22.95732
48,256,42.405068
48,512,80.784491
48,1024,109.670745
48,2048,118.415824
48,4096,129.203838
48,8192,129.912012
48,16384,118.64291
